Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
109.0295,C00146,M-H+O[-],65.1,3.35332300096525e-05,EC000118
113.0597,C00146,M+H2O+H[1+],56.8,7.64667699826305e-05,EC000118
153.0557,C00146,M+CH3COO[-],135.7,0.000505000000003974,EC000119
93.0346,C00146,M-H[-],132.7,2.35332300064783e-05,EC000119
93.03463,C00146,M-H[-],61.9,6.46677000304408e-06,EC000118
93.0347,C00146,M-H[-],250.8,7.64667699968413e-05,EC000120
95.0492,C00146,M+H[1+],54,2.35332300064783e-05,EC000118
95.04925,C00146,M+H[1+],164.4,7.35332300081382e-05,EC000121
134.0472,C00147,M-H[-],6.5,2.35332299780566e-05,EC000122
134.0473,C00147,M-H[-],58.5,7.6466770025263e-05,EC000123
134.04733,C00147,M-H[-],213.8,0.000106466770006364,EC000124
136.0618,C00147,M+H[1+],155.4,2.35332300064783e-05,EC000125
137.06513,C00147,M(C13)+H[1+],17.6,4.64667699873189e-05,EC000122
154.072,C00147,M+H2O+H[1+],159.4,0.0003764667700068,EC000125
180.0528,C00147,M+HCOO[-],58.5,0.000654999999994743,EC000123
194.06691,C00147,M+CH3COO[-],17.9,0.000884999999982483,EC000122
114.0561,C00148,M-H[-],157.8,7.64667699968413e-05,EC000126
115.0632,C00148,M[1+],128.1,0.00010000000000332,EC000127
116.0704,C00148,M+H[1+],128.4,0.00017646676998595,EC000127
116.0706,C00148,M+H[1+],172.1,2.35332300064783e-05,EC000128
117.0737,C00148,M(C13)+H[1+],128.8,0.00027646676998927,EC000127
117.074,C00148,M(C13)+H[1+],171.4,2.35332300064783e-05,EC000128
130.051,C00148,M-H+O[-],153,6.64667699936672e-05,EC000126
134.0812,C00148,M+H2O+H[1+],144.7,2.35332299780566e-05,EC000126
160.06151,C00148,M+HCOO[-],116.7,0.000564999999994598,EC000127
98.0601,C00148,M-H2O+H[1+],74.3,0.000123533230009798,EC000129
98.06017,C00148,M-H2O+H[1+],149.2,0.000193533230003595,EC000126
99.0441,C00148,M-NH3+H[1+],152.6,2.35332300064783e-05,EC000126
133.0142,C00149,M-H[-],16.5,2.35332300064783e-05,EC000130
174.0406,C00149,M+ACN-H[-],14.6,0.000168533229981449,EC000130
113.0359,C00152,M-H2O-H[-],191.2,0.000276466769975059,EC000131
115.0502,C00152,M-H2O+H[1+],178.2,2.35332299922675e-05,EC000132
115.05027,C00152,M-H2O+H[1+],234.9,9.35332299860647e-05,EC000133
115.05029,C00152,M-H2O+H[1+],20.1,0.000113533229992413,EC000134
115.0503,C00152,M-H2O+H[1+],100.7,0.000123533229981376,EC000135
105.0448,C00153,M-H2O+H[1+],75.8,0.000123533229995587,EC000136
123.0552,C00153,M+H[1+],26.9,7.64667699968413e-05,EC000137
123.0553,C00153,M+H[1+],147.4,2.35332300064783e-05,EC000138
124.0587,C00153,M(C13)+H[1+],72.9,2.35332300064783e-05,EC000136
124.05877,C00153,M(C13)+H[1+],147.9,9.35332300002756e-05,EC000138
141.0659,C00153,M+H2O+H[1+],69.8,2.35332299780566e-05,EC000136
181.0144,C00153,M+NaCl[1+],16.4,0.000523533229994655,EC000137
95.0604,C00153,M-CO+H[1+],19.5,0.000123533230009798,EC000137
111.0441,C00156,M-CO+H[1+],50.5,0.000123533230009798,EC000139
121.0284,C00156,M-H2O+H[1+],63.7,2.35332300064783e-05,EC000139
137.0244,C00156,M-H[-],6.9,2.35332299780566e-05,EC000140
137.02441,C00156,M-H[-],134,1.35332300033042e-05,EC000141
137.0245,C00156,M-H[-],213.7,7.64667699968413e-05,EC000142
138.0277,C00156,M(C13)-H[-],133,0.000123533229981376,EC000141
153.0194,C00156,M-H+O[-],58.2,6.64667699936672e-05,EC000139
153.01943,C00156,M-H+O[-],136,9.64667700031896e-05,EC000141
178.0508,C00156,M+ACN-H[-],132.6,0.000168533229981449,EC000141
178.0509,C00156,M+ACN-H[-],58.3,6.85332299781294e-05,EC000139
95.0492,C00156,M-CO2+H[1+],54,2.35332300064783e-05,EC000139
876.685,C00157,M+Na[1+],59.2,0.00328258172987717,EC000143
191.0197,C00158,M-H[-],57.4,2.35332299780566e-05,EC000144
228.9933,C00158,M+Cl37[-],56.2,0.000400000000013279,EC000144
161.0455,C00159,M-H2O-H[-],101.1,2.35332299780566e-05,EC00022
179.056,C00159,M-H[-],50.1,0.000123533229981376,EC00023
203.0526,C00159,M+Na[1+],171.9,7.64667699968413e-05,EC00024
220.0823,C00159,M+ACN-H[-],53.5,0.000368533229988088,EC00023
89.0245,C00159,M-2H[2-],50.3,7.64667699968413e-05,EC00023
89.02459,C00159,M-2H[2-],180.3,0.000166466769996987,EC00025
101.0245,C00164,M-H[-],49.5,7.64667699968413e-05,EC00083
101.02458,C00164,M-H[-],134,0.000156466769993813,EC00084
103.039,C00164,M+H[1+],73.9,2.35332300064783e-05,EC00085
104.0424,C00164,M(C13)+H[1+],158.1,2.35332300064783e-05,EC00086
85.0284,C00164,M-H2O+H[1+],158.2,2.35332300064783e-05,EC00086
119.0492,C00166,M-HCOOH+H[1+],168.9,2.35332300064783e-05,EC000145
121.06487,C00166,M-CO2+H[1+],163,9.35332300002756e-05,EC000145
137.05976,C00166,M-CO+H[1+],282.8,0.000183533230000421,EC000146
137.0598,C00166,M-CO+H[1+],165.7,0.000223533229984696,EC000145
147.0441,C00166,M-H2O+H[1+],169,0.000123533229981376,EC000145
163.04,C00166,M-H[-],132.8,2.35332300064783e-05,EC000147
163.0401,C00166,M-H[-],58.3,7.64667699968413e-05,EC000148
165.0546,C00166,M+H[1+],168.8,2.35332299780566e-05,EC000145
166.058,C00166,M(C13)+H[1+],169.1,2.35332299780566e-05,EC000145
179.035,C00166,M-H+O[-],59.1,6.64667699936672e-05,EC000148
179.0351,C00166,M-H+O[-],134.2,0.000166466769996987,EC000147
