Metabolite,Identified_Name,p_value_12h,mean_YPGD_12h,mean_NPGD_12h,fold_change_12h,p_value_24h,mean_YPGD_24h,mean_NPGD_24h,fold_change_24h
C18_98.0247_33.7,Hymexazol*,0.4807855119841775,15.368100670462653,15.670614897464258,-0.02812291598445931,0.13512383670061012,14.942474014595568,15.686453675870995,-0.07010019717269914
C18_99.0452_150,"1,3-Butadiene",0.08875839641795516,16.261932526229234,15.940739598204853,0.028780146553558122,0.002697602340479762,16.475703261172686,15.858377528989417,0.055094871190421835
C18_99.0452_57.4,Tiglic acid,0.01918190865896944,16.1431202118499,15.357131257590066,0.07201071293517394,0.21775117080683074,15.652006620297993,15.22846426732637,0.039577166709626105
HILIC_100.0393_101.6,Hymexazol*,0.5650971694679741,15.800729859125275,15.654386621356469,0.013424219036594054,0.15352206667708518,16.002822065498105,15.824580353602586,0.016159102072048983
HILIC_100.0506_147.9,Guanidinoacetate,0.11946925048007524,17.618511199391644,16.93758839759854,0.05686354275709886,0.23091582921030793,17.884014134766414,17.240634777291046,0.05285769771703522
HILIC_100.0757_69.7,(2R)-2-Hydroxy-2-methylbutanenitrile,0.4495334326592708,20.350302411859918,21.345872446500838,-0.068906895936855,0.49265475024974803,21.350507796922695,20.69339307016423,0.04510016155022264
HILIC_100.1121_146.7,Cyclohexylamine*,0.04304083352161889,21.232207279636846,20.695587196300227,0.0369311774507952,0.02582558635110924,21.206178639235628,20.579365991257426,0.04328613374808264
HILIC_101.0961_278.6,3-Hexenol,0.25118212076951435,16.445835116241767,16.16225810147047,0.02509349224330897,0.4260019738603442,16.099649084197054,15.795663686643897,0.027500686899885687
HILIC_103.039_158.1,2-OXOBUTANOATEᵢ,0.8549678261978937,20.46769452728448,20.392833703153144,0.005286346762913054,0.048684251410933695,20.91288882821988,20.338759357840342,0.04016068513472389
HILIC_104.0534_49.2,7-Methylguanineᵢ,0.8172110004949213,18.11937623707038,18.084578688181416,0.002773302904617117,0.5699244643182463,17.778099688144295,17.971150255298,-0.015581630587396937
HILIC_104.0706_170.4,4-Aminobutanoate,0.6675775603932399,17.543986297473076,17.372106768934025,0.014203865591788982,0.002421371996199934,18.278385254876273,17.623771054688536,0.052615967135346026
HILIC_104.9923_171.8,Acetate,0.03458759422562519,21.01661746079283,20.864710130284298,0.010465614442910455,0.3332108895851997,20.924937034785984,20.833660430761153,0.006306941405543108
HILIC_105.0335_142.1,3-Hydroxybenzaldehyde*,0.7587503625899776,15.642622039936903,15.597864045575635,0.004133878103486128,0.1765292368723472,15.310625598649189,15.644939435140236,-0.031162840440177437
HILIC_105.0448_75.8,2-Cyanopyridine,0.9466245741343451,19.037680724528435,19.013680764607304,0.0018198890339852923,0.6078450643799423,19.162295033760785,19.01843199745215,0.010872054432958099
HILIC_105.0699_109.4,Phenethylamine*,0.10184218023427004,17.779181740749078,17.46127945063702,0.026029653609135863,0.08375592335364519,17.69535862878511,17.31413547857918,0.03142064756065468
HILIC_106.0499_190,L-Serine,0.14308525609132475,14.348797566429049,14.927389564904605,-0.05703205179017756,0.6118032911732857,15.020552948600312,14.889653795961744,0.012627713720281587
HILIC_106.0863_144.2,Diethanolamine,0.9968754507789419,20.10514100071395,20.106308153219075,-8.374953735856513e-5,0.3000909150308198,20.365516064388345,20.016191249678013,0.02496089358266989
HILIC_107.0855_49.3,p-Xylene*,0.46491758209752343,18.967186142232226,18.88069535157069,0.006593766787239203,0.712647157138318,18.886501369042715,18.8588668062157,0.00211248456689538
HILIC_108.0444_84.2,"6-Iminocyclohexa-2,4-dienone",0.5122008734097996,16.28603166271966,16.0650041924095,0.01971375497304612,0.0012353659445943817,16.81216784505392,15.989657923412349,0.07236669020103606
HILIC_108.0808_188,ortho-Toluidine,0.048791696681727795,16.43128985385259,15.708719189186995,0.06488018083222845,0.30010265307776723,16.371373221558546,15.964237645476949,0.03633167908855963
HILIC_109.076_11.9,Phenylenediamine,0.816079981620914,16.303626743272016,16.505393518823265,-0.01774460766194341,0.9290422323651397,16.855930238031814,16.888251260248015,-0.0027636997347156417
HILIC_109.076_186.2,1-Methylhistamine*ᵢ,0.4739965984718797,16.854200122878023,17.093416105797065,-0.020332586672888262,0.7941370371012175,17.404288672859398,17.33524326979609,0.005734768788643879
HILIC_110.0601_62.9,2-AMINOPHENOLᵢ,0.9378408912753431,17.270226907814273,17.34649047532446,-0.0063567696171465205,0.598302381547561,18.38617017456144,17.752782778503445,0.05057581153717136
HILIC_110.06_279.2,2-Aminophenol,0.6414897403016746,20.301173185396582,20.17277233409111,0.009153735347520143,0.0035549005069024095,20.622960162011168,20.20717866599433,0.029383521834323845
HILIC_110.0964_144.6,Cyclohexyl isocyanide,0.38669533918930743,15.678438272529123,15.400188335580037,0.02583386554817017,0.9653022598472869,15.40227771765085,15.415706467883982,-0.0012572913579430782
HILIC_111.0553_146.5,Imidazole-4-acetaldehyde*,0.1300607986873201,17.359360767868203,17.05056740355371,0.025894074092234206,0.35909954961825497,16.709056355577843,16.997691077730966,-0.024708528262338304
HILIC_111.1169_48.1,Sulcatol,0.44502187684849404,17.056719025540037,17.328868213745004,-0.02283727074590787,0.1260444667904505,17.646004018764753,17.369445339868054,0.022789833555980316
HILIC_112.0505_284.3,Cytosine,0.5100663795191027,16.384626853595666,16.59803256243897,-0.018669425677525817,0.5407258778503398,16.57683822422673,16.74068813442948,-0.014189970530641591
HILIC_112.0506_150.9,CYTOSINEᵢ,0.5777376197744757,17.29668069459148,16.972400998697072,0.02730453520722265,0.30564515572443157,17.682620154001942,17.196134374728917,0.04024777545420232
HILIC_112.0869_189.5,HISTAMINEᵢ,0.9993243550765223,15.148531279683068,15.14876356963645,-2.2122342305988787e-5,0.05484490304317312,15.426989514804415,14.947163063450748,0.04558486575856035
HILIC_112.087_108,Histamine,0.8458324689015875,14.476062254066788,14.596215873608424,-0.011925176092527539,0.11226185164242136,14.868386100539176,14.417211252114456,0.04445592914729697
HILIC_112.9785_87.8,"2-Hydroxy-3-chloropenta-2,4-dienoate",0.4365394805485099,15.821014589291178,15.631352941478996,0.01739946826511655,0.7983831691741291,15.527837531514407,15.45292567965214,0.006976920941540686
HILIC_113.0345_116.6,"(2S,3S)-3-Hydroxyasparagine*",0.595322530464408,15.16165255653811,15.345896024282082,-0.01742587531589458,0.5869882702650857,15.004889674334244,15.130731084508746,-0.012048985825210046
HILIC_113.0346_10.8,Uracil*,0.43075283399557807,16.175746946874774,16.022450562791832,0.013737514598160404,0.951062421873004,16.040317621275094,16.029736346195012,9.520129684688655e-4
HILIC_113.0597_56.8,"1,4-Cyclohexanedione",0.7841491774446249,18.093258873269694,18.282557412041385,-0.01501560961988018,0.5871487063886713,18.072469538247365,18.513290357945962,-0.03476766868942176
HILIC_113.1074_162.5,N-ACETYLPUTRESCINE*ᵢ,0.77041098362893,17.830911791796062,17.69771054374424,0.010817738924304076,0.7836231126847718,18.14580404905947,18.023077391288837,0.009790616298905253
HILIC_114.055_75.6,N-ACETYL-L-ALANINEᵢ,0.21121745163765943,17.461691494466752,16.954722662092053,0.0425061324024177,0.17477402494987848,17.492790520866595,16.639525420470306,0.07214616553428832
HILIC_114.0662_130,Creatinine*,0.047199381819092084,29.40294307690179,28.887634159306423,0.02550851348447246,0.2576752035553583,29.27927002838225,28.969482150452006,0.015345690074552281
HILIC_115.039_275.7,D-Ribose*,0.36815707200397374,15.216661948928015,14.995684470207209,0.02110453742529134,0.4277577032003792,15.032504260767976,15.195380688556346,-0.015547451579678621
HILIC_115.0503_100.7,3-UREIDOPROPIONATEᵢ,0.5304251791584005,15.577647707449115,15.390526766546998,0.017434785456415986,0.598931964591064,15.424179967187998,15.177174307133388,0.023290575775198656
HILIC_115.0542_50.9,3-Methylindoleᵢ,0.5351934890148846,17.23704416733485,17.053186427527155,0.015471064894607051,0.2584857639054835,17.15155081587357,16.75611412424483,0.03365141307624702
HILIC_115.0754_113.4,epsilon-Caprolactone,0.5962079287422983,18.70176931331097,18.54998665847459,0.01175661600436419,0.14452615467027147,17.74160331159868,18.781151566432783,-0.0821491324420449
HILIC_115.0867_162,L-Prolinamide*,0.6096193195636121,16.712240720712213,16.512035947647597,0.017387161332312353,0.7235539665664177,16.599286732978303,16.708797128861953,-0.009486626429693784
HILIC_115.123_120.4,Norspermidine,0.789965899778039,17.62811744653085,17.56595922367113,0.005096053745199343,0.795771878667089,17.66139259770883,17.73260186654775,-0.0058051315872946685
HILIC_116.0706_172.1,L-Proline*,0.5991989601200132,21.715912298941266,21.5941259507439,0.00811363973767892,0.2117142547916953,21.773212915861336,21.429244810410097,0.022973302539586737
HILIC_116.9719_16.7,Chloroacetic acid,0.762181592004311,17.542473102458615,17.472473493488025,0.005768292291064066,0.012209052457632224,17.94907101773865,17.554081582178128,0.03210265968849727
HILIC_116.9923_172.3,Methylglyoxal,0.13142619792424692,18.147458632298086,18.01433561553884,0.010622082653534558,0.35997060134008146,18.06409109152019,17.97002808873069,0.007532002389901058
HILIC_117.0659_148.2,"N,N'-Diacetylhydrazine",0.6158180400430379,17.81221420421272,17.87997396822885,-0.0054777696726020795,0.7620016277077,17.976007135679065,17.916428507519147,0.004789525636422723
HILIC_117.0911_55,Hexanoic acid,0.84968930633535,15.805896064844703,15.853482751582389,-0.004336985199150805,0.7782021418368535,15.94615711313699,15.782193241902133,0.01491107902130001
HILIC_117.1022_185.9,5-Aminopentanamide*,0.8385556696260548,14.161130230915955,14.52667519985207,-0.03676812851650397,0.5517569900818068,14.541939351265171,15.5872477665827,-0.10014653080757169
HILIC_118.061_178.1,GUANIDINOACETATEᵢ,0.33208687488473665,15.520314071404337,15.017367799760885,0.04752578876371641,0.06913819725400702,16.4687471953126,14.964544555676436,0.13818243981978354
