"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Pyruvate Metabolism","20","5","3","1.1802","0.30025","0.69398","0.009175","99","0.99","1","1","0.633075","P17","EC000155;EC0008"
"Caffeine metabolism","11","7","1","1.1802","0.30025","0.69398","0.009175","8","0.08","1","1","0.633075","P18","EC000605;EC000606"
"Glyoxylate and Dicarboxylate Metabolism","12","4","2","1.1802","0.30025","0.69398","0.009175","94","0.94","1","1","0.633075","P19","EC000202;EC00090"
"Vitamin A (retinol) metabolism","67","15","4","3.0349","0.30505","0.54654","0.0093385","0","0","1","1","0.633075","P20","EC000417;EC000418;EC0001007;EC000700"
"Propanoate metabolism","31","9","3","2.1919","0.33087","0.62326","0.010275","0","0","1","1","0.667875","P21","EC000488;EC000155;EC0008"
"Vitamin E metabolism","54","10","3","2.1919","0.33087","0.62326","0.010275","0","0","1","1","0.667875","P22","EC0001251;EC0001244;EC0001254"
"Beta-Alanine metabolism","20","10","5","4.2151","0.34907","0.55966","0.010996","100","1","1","1","0.692748","P23","EC000244;EC00015;EC000155;EC00028;EC0008"
"Vitamin B1 (thiamin) metabolism","20","5","3","2.3605","0.37696","0.66484","0.01221","99","0.99","1","1","0.75702","P24","EC000231;EC0008;EC00015"
"Vitamin B12 (cyanocobalamin) metabolism","9","3","1","0.50581","0.39912","1","0.013279","0","0","1","1","0.810019","P25","EC000345"
"Tyrosine metabolism","160","93","33","29.674","0.40151","0.47704","0.0134","100","1","1","1","0.810019","P26","EC00015;EC0001237;EC0001238;EC0008;EC000387;EC000720;EC000493;EC000629;EC000630;EC000740;EC000348;EC0001001;EC0001234;EC00056;EC00048;EC000725;EC000843;EC000845;EC000627;EC000142;EC00037;EC000836;EC000358;EC000891;EC000893;EC000895;EC000612;EC000855;EC0001170"
"Glutamate metabolism","15","10","5","4.5523","0.41602","0.62413","0.014164","100","1","1","1","0.835676","P27","EC00015;EC0008;EC000244;EC00037;EC000394"
"Arginine and Proline Metabolism","45","30","9","9.7791","0.41907","0.55915","0.014331","100","1","1","1","0.835676","P28","EC000122;EC00015;EC0008;EC00035;EC00036;EC000706;EC00049;EC00050;EC00037;EC00028"
"Limonene and pinene degradation","10","6","3","1.5174","0.42163","0.7821","0.014472","100","1","1","1","0.835676","P29","EC000336;EC000638"
"Omega-6 fatty acid metabolism","55","9","1","1.5174","0.42163","0.7821","0.014472","0","0","1","1","0.835676","P30","EC000173;EC000174"
