"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Linoleate metabolism","46","31","15","11.176","0.076578","0.13148","0.0038408","0","0","1","1","0.2983959","P11","EC0001163;EC000744;EC0001260;EC000499;EC0001151;EC000763;EC000764;EC00045;EC00046;EC00048;EC0001048;EC0001049;EC0001155;EC000958;EC000960"
"Glyoxylate and Dicarboxylate Metabolism","12","4","3","1.3488","0.1123","0.36088","0.0043608","84","0.84","1","1","0.3314208","P12","EC000202;EC00089;EC000144"
"Valine, leucine and isoleucine degradation","65","23","16","9.0565","0.11553","0.19762","0.0044114","99","0.99","1","1","0.3314208","P13","EC0009;EC00083;EC000113;EC00098;EC00023;EC000485;EC000175;EC000486;EC000487;EC0001210;EC0001215;EC000244"
"Histidine metabolism","33","18","9","9.2492","0.13072","0.21844","0.0046575","100","1","1","1","0.344655","P14","EC0009;EC000714;EC000296;EC000422;EC000423;EC000425;EC00019;EC00020;EC000910;EC000107;EC000907;EC0008"
"Glutathione Metabolism","19","7","4","3.0831","0.14016","0.31226","0.0048178","86","0.86","1","1","0.3516994","P15","EC000591;EC0009;EC00019;EC00020;EC000394"
"Beta-Alanine metabolism","20","10","6","4.8173","0.14132","0.27498","0.0048378","100","1","1","1","0.3516994","P16","EC0009;EC000244;EC00019;EC00020;EC000107;EC00029;EC0008"
"Glycosphingolipid biosynthesis - globoseries","16","2","2","0.77076","0.14821","0.54292","0.004959","0","0","1","1","0.352089","P17","EC00032;EC00016"
"Prostaglandin formation from arachidonate","78","42","5","6.7442","0.15547","0.27207","0.0050903","0","0","1","1","0.356321","P18","EC000274;EC0001033;EC0001035;EC000499;EC000172;EC000173;EC00045;EC00046;EC00048"
"Starch and Sucrose Metabolism","33","12","8","2.505","0.18828","0.41396","0.0057309","0","0","1","1","0.3954321","P19","EC00066;EC000412;EC000413;EC00016"
"Arachidonic acid metabolism","95","50","18","6.1661","0.19653","0.3359","0.0059051","0","0","1","1","0.4015468","P20","EC0009;EC0001050;EC000771;EC000958;EC000960;EC000461;EC000172;EC000173"
"Limonene and pinene degradation","10","6","4","1.7342","0.20577","0.49383","0.0061071","99","0.99","1","1","0.4091757","P21","EC000482;EC000638;EC000640"
"Urea cycle/amino group metabolism","85","40","14","18.113","0.30664","0.40082","0.0088618","100","1","1","1","0.5848788","P22","EC0009;EC000121;EC000559;EC000561;EC000429;EC000430;EC000705;EC000672;EC000673;EC000217;EC000218;EC00019;EC00020;EC000244;EC000626;EC000352;EC00029;EC00052;EC000271"
"N-Glycan Degradation","16","6","3","2.1196","0.31069","0.60799","0.0089969","0","0","1","1","0.5848788","P23","EC00016;EC000490;EC000491"
"Fructose and mannose metabolism","33","21","6","3.0831","0.31528","0.56077","0.0091533","38","0.38","1","1","0.5858112","P24","EC000490;EC000491;EC00016;EC000435"
"Glycosphingolipid biosynthesis - lactoseries","14","1","1","0.38538","0.32496","1","0.0094925","0","0","1","1","0.5980275","P25","EC00032"
"Blood Group Biosynthesis","44","1","1","0.38538","0.32496","1","0.0094925","0","0","1","1","0.5980275","P26","EC00032"
"Glycosphingolipid biosynthesis - neolactoseries","16","1","1","0.38538","0.32496","1","0.0094925","0","0","1","1","0.5980275","P27","EC00032"
"O-Glycan biosynthesis","16","1","1","0.38538","0.32496","1","0.0094925","0","0","1","1","0.5980275","P28","EC00032"
"De novo fatty acid biosynthesis","106","19","6","8.2857","0.35467","0.50525","0.010621","0","0","1","1","0.626639","P29","EC000589;EC000404;EC000405;EC000958;EC000960;EC000651;EC000652;EC000172;EC000173"
"Aspartate and asparagine metabolism","114","57","24","18.691","0.36176","0.45948","0.010912","100","1","1","1","0.632896","P30","EC0009;EC000121;EC00083;EC000131;EC0001138;EC000591;EC00052;EC000465;EC000244;EC00029;EC000271;EC000752;EC000394;EC000485;EC000486;EC000487;EC000699;EC000672;EC000673"
"Biopterin metabolism","22","4","2","1.3488","0.36304","0.74635","0.010965","87","0.87","1","1","0.632896","P31","EC00057;EC0001065"
"Caffeine metabolism","11","7","3","1.3488","0.36304","0.74635","0.010965","5","0.05","1","1","0.632896","P32","EC000606;EC0001079"
"Drug metabolism - cytochrome P450","53","21","8","7.3223","0.36309","0.52471","0.010967","2","0.02","1","1","0.632896","P33","EC0001090;EC0001085;EC0001095;EC0001096;EC0001088;EC0001089;EC0001087;EC0001091"
"Keratan sulfate degradation","68","6","2","2.3123","0.36415","0.65731","0.011012","0","0","1","1","0.632896","P34","EC00016;EC000490;EC000491"
"Nitrogen metabolism","6","4","3","2.505","0.41692","0.70155","0.013492","100","1","1","1","0.715076","P35","EC0009;EC000131;EC00029"
"Pyrimidine metabolism","70","35","14","14.066","0.42815","0.54594","0.014096","54","0.54","1","1","0.732992","P36","EC0008;EC0009;EC00032;EC000459;EC000244;EC00019;EC00020;EC00083;EC000171;EC000104;EC000281;EC000399;EC000131;EC00029"
